NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
343,2629,tt0119381,Inventing the Abbotts,1997,11,drama,0,,
344,2632,tt1057500,Invictus,2009,43,drama,3,,
347,2644,tt1230414,It's Complicated,2009,131,comedy,3,,
348,2653,tt0119396,Jackie Brown,1997,75,crime,3,,
349,1053,tt0099871,Jacob's Ladder,1990,53,horror,1,,
350,2660,tt1229822,Jane Eyre,2011,12,drama,2,,
351,4238,tt0107254,Jason Goes to Hell: The Final Friday,1993,33,horror,1,,
352,4236,tt0091080,Jason Lives: Friday the 13th Part VI,1986,44,horror,1,,
353,2664,tt0211443,Jason X,2001,19,horror,1,,
354,2666,tt0073195,Jaws,1975,1103,horror,3,,
355,2671,tt0077766,Jaws 2,1978,382,horror,0,,
356,4449,tt0085750,Jaws 3-D,1983,116,horror,1,,
357,4450,tt0093300,Jaws: The Revenge,1987,46,horror,1,,
358,2673,tt0261392,Jay and Silent Bob Strike Back,2001,46,comedy,1,,
359,2675,tt0104549,Jennifer 8,1992,23,crime,1,,
360,2679,tt0116695,Jerry Maguire,1996,303,comedy,3,,
361,2682,tt0102138,JFK,1991,145,drama,3,,
362,1061,tt0425151,Jimmy and Judy,2006,NA,crime,1,,
363,1060,tt0251160,John Q,2002,106,drama,1,,
365,2687,tt0113492,Judge Dredd,1995,69,sci-fi,1,,
366,2688,tt0467406,Juno,2007,180,drama,3,,
368,1062,tt0163025,Jurassic Park III,2001,278,sci-fi,1,,
369,1067,tt0102181,Kafka,1991,2,sci-fi,1,,
370,2697,tt0107302,Kalifornia,1993,5,crime,1,,
371,1213,tt0035423,Kate & Leopold,2001,72,comedy,3,,
372,2699,tt0113540,Kids,1995,14,drama,1,,
373,4474,tt0266697,Kill Bill (Pt 1+2),2003,101,action,3,,
374,2704,tt0360717,King Kong,2005,295,action,3,,
375,2713,tt0067309,Klute,1971,NA,crime,3,,
376,4487,tt0104627,Knight Moves,1992,1,crime,1,,
